page,element,definition
4,8/15/25,"8/15/25 | Initial release of third amendment reports received from June 16th through July 15,"
25,85,"CP Contact Area – Unknown | The entry indicates whether the Reporting Entity reported that the location of any crash contact or damage resulting from the crash on the crash partner or other vehicle was unknown. A “Y” in Field 85 reflects that the Reporting Entity reported that the location of any crash contact or damage resulting from the crash on the crash partner or other vehicle was unknown, and a blank entry in Field 85 reflects the lack of any such report."
25,86,"SV Pre-Crash Movement | The Reporting Entity’s report of the pre- crash movement of the subject vehicle prior to the incident. Drop-down values: • Stopped: Vehicle was stopped and not moving. • Proceeding Straight: Vehicle was moving uniformly in one direction only. • Lane / Road Departure: Vehicle left the original lane of travel. • Making Right Turn: Vehicle was turning right. • Making Left Turn: Vehicle was turning left. • Making U-Turn: Vehicle was making a U- Turn. • Backing: Vehicle was backing in reverse. • Passing: Vehicle was passing another vehicle. • Changing Lanes: Vehicle was in the process of changing lanes within the same direction of travel. • Parking Maneuver: Vehicle was parking into a space including forward, reverse, or parallel. • Entering Traffic: Vehicle was entering onto a roadway from a non-roadway (e.g., parking lot, driveway, etc.). • Crossing into Opposing Lane: Vehicle traveled into the opposing lane intentionally to maneuver around a vehicle, object, or other obstruction. • Parked: Vehicle was parked at the time of the incident. • Merging: Vehicle was merging onto a roadway from another roadway. • Traveling Wrong Way: Vehicle was traveling on the roadway in the wrong direction of the intended traffic flow. • Other, see Narrative • Unknown"
26,Field #,Name | Description
26,87,"Any Air Bags Deployed? | The Reporting Entity’s report of whether any air bag in the subject vehicle or crash partner deployed. Drop-down values: • Yes Subject Vehicle, No Crash Partner • Yes Subject Vehicle, Yes Crash Partner • Yes Subject Vehicle, Unknown Crash Partner • No Subject Vehicle, No Crash Partner • No Subject Vehicle, Unknown Crash Partner • Yes Crash Partner, No Subject Vehicle • Yes Crash Partner, Unknown Subject Vehicle • No Crash Partner, Unknown Subject Vehicle • Not Applicable • Unknown"
26,88,"Was Vehicle Towed? | The Reporting Entity’s report of whether the subject vehicle or crash partner were towed from the scene. Drop-down values: • Yes Subject Vehicle, No Crash Partner • Yes Subject Vehicle, Yes Crash Partner • Yes Subject Vehicle, Unknown Crash Partner • No Subject Vehicle, No Crash Partner • No Subject Vehicle, Unknown Crash Partner • Yes Crash Partner, No Subject Vehicle • Yes Crash Partner, Unknown Subject Vehicle • No Crash Partner, Unknown Subject Vehicle • Unknown"
27,Field #,Name | Description
27,89,Were All Passengers Belted? | The Reporting Entity’s report of whether all passengers in the subject vehicle were wearing seat belts at the time of the incident. Drop-down values: • Subject Vehicle – All Belted • Subject Vehicle – Not Belted – see Narrative • Subject Vehicle – No Passenger In Vehicle • Unknown
27,90,SV Precrash Speed (MPH) | The Reporting Entity’s report of the speed of the subject vehicle at the time of the incident in miles per hour.
27,91,SV Pre-crash Speed – Unknown | The entry reflects whether the Reporting Entity reported that the pre-crash speed of the subject vehicle was unknown. A “Y” in Field 91 reflects the Reporting Entity’s report that this information was unknown. A blank entry in Field 91 reflects the lack of any report by the Reporting Entity that the pre-crash speed of the subject vehicle was unknown.
27,92 - 102,SV Contact Area | The entry reflects the location of any crash contact or damage resulting from the crash on the subject vehicle. This field is a multi-select picklist. An entry of “Y” in response to any of Fields 92 – 102 reflects the Reporting Entity’s report of crash contact or damage at the specified location. One or more of Fields 92 – 102 will be blank if the Reporting Entity does not report any contact or damage on the subject vehicle at the location described for that field. Possible selections include a combination of contact areas related to the subject crash.
27,92,"SV Contact Area – Rear Left | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 92 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 92 reflects the lack of any such report."
27,93,"SV Contact Area - Left | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 93 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 93 reflects the lack of any such report."
28,Field #,Name | Description
28,94,"SV Contact Area – Front Left | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 94 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 94 reflects the lack of any such report."
28,95,"SV Contact Area – Rear | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 95 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 95 reflects the lack of any such report."
28,96,"SV Contact Area – Top | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 96 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 96 reflects the lack of any such report."
28,97,"SV Contact Area – Front | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 97 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 97 reflects the lack of any such report."
28,98,"SV Contact Area – Rear Right | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 98 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 98 reflects the lack of any such report."
28,99,"SV Contact Area – Right | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 99 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 99 reflects the lack of any such report."
29,Field #,Name | Description
29,100,"SV Contact Area – Front Right | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 100 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 100 reflects the lack of any such report."
29,101,"SV Contact Area – Bottom | The entry indicates whether the Reporting Entity reported any crash contact or damage resulting from the crash at the identified location on the subject vehicle. A “Y” in Field 101 reflects that the Reporting Entity reported crash contact or damage resulting from the crash at the identified location, and a blank entry in Field 101 reflects the lack of any such report."
29,102,"SV Contact Area - Unknown | The entry indicates whether the Reporting Entity reported that the location of any crash contact or damage resulting from the crash on the subject vehicle was unknown. A “Y” in Field 102 reflects that the Reporting Entity reported that the location of any crash contact or damage resulting from the crash on the subject vehicle was unknown, and a blank entry in Field 102 reflects the lack of any such report."
29,Field #,Name | Description
29,103 - 116,Data Availability | The entry reflects the Reporting Entity’s sources of available data or other information regarding the incident. This field is a multi-select picklist. An entry of “Y” in response to any of Fields 103 – 116 reflects the Reporting Entity’s report that the data described in that field is available for the subject vehicle. A blank entry in Fields 103 – 116 reflects that the Reporting Entity has not reported that the data described in that field is available.
29,103,"Data Availability – EDR | The entry reflects the Reporting Entity’s report regarding the availability of Event Data Recorder (EDR) information from the subject vehicle. A “Y” in Field 103 reflects the Reporting Entity’s report that this data is available, and a blank entry in Field 103 reflects the lack of any such report from the Reporting Entity."
30,Field #,Name | Description
30,104,"Data Availability – Police Rpt | The entry reflects the Reporting Entity’s report regarding the availability of a police report, other governmental report, or investigative record regarding the incident. A “Y” in Field 104 reflects the Reporting Entity’s report that this data is available, and a blank entry in Field 104 reflects the lack of any such report from the Reporting Entity."
30,105,"Data Availability – Telematics | The entry reflects the Reporting Entity’s report regarding the availability of data or other information regarding the incident transmitted via telematics (e.g., over-the-air automatic crash notifications) from the subject vehicle. A “Y” in Field 105 reflects the Reporting Entity’s report that this data is available, and a blank entry in Field 105 reflects the lack of any such report from the Reporting Entity."
30,106,"Data Availability – Complaints | The entry reflects the Reporting Entity’s report regarding the availability of consumer complaints regarding the incident. A “Y” in Field 106 reflects the Reporting Entity’s report that this data is available, and a blank entry in Field 106 reflects the lack of any such report from the Reporting Entity."
30,107,"Data Availability – Video | The entry reflects the Reporting Entity’s report regarding the availability of video information (from the subject vehicle or otherwise) relating to the incident. A “Y” in Field 107 reflects the Reporting Entity’s report that this data is available, and a blank entry in Field 107 reflects the lack of any such report from the Reporting Entity."
30,108,"Data Availability – Other | The entry reflects the Reporting Entity’s report regarding the availability of information relating to the incident other than that the ones specified in the other data availability selections. A “Y” in Field 108 reflects the Reporting Entity’s report that this data is available, and a blank entry in Field 108 reflects the lack of any such report from the Reporting Entity."
30,109,"Data Availability – No Data | The entry reflects the Reporting Entity’s report regarding the lack of any available additional data regarding the incident. A “Y” in Field 109 reflects the Reporting Entity’s report that there is no such data available, and a blank entry in Field 109 reflects the lack of any such report from the Reporting Entity."
31,Field #,Name | Description
31,110,"Data Availability – Unknown | The entry reflects the Reporting Entity’s report regarding the availability of additional data or information regarding the incident. A “Y” in Field 110 reflects the Reporting Entity’s report that the availability of any such additional data or information was unknown, and a blank entry in Field 110 reflects the lack of any such report by the Reporting Entity."
31,111,"Investigating Agency | The Reporting Entity’s report on the name of any law enforcement agency investigating the incident. If the entry states “[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],” the information reported by the Reporting Entity has been redacted by NHTSA because NHTSA has concluded that it may constitute (or lead to the disclosure of) PII that is protected from disclosure."
31,112,Investigating Agency - Unknown | The entry reflects whether the Reporting Entity reported the name of any law enforcement agency investigating the incident. A “Y” in Field 112 reflects the Reporting Entity’s report that this information was unknown.
31,113,"Within ODD? | The Reporting Entity’s report on whether the subject vehicle was acting within its ODD during the period 30 seconds prior to the crash through the conclusion of the crash. Drop-down values: • Yes • No, see Narrative • Unknown, see Narrative • Exiting ODD If the entry states “[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION],” this indicates that the Reporting Entity has made and submitted a claim that this information is CBI that is protected from public disclosure."
31,114,Within ODD? – CBI | The entry reflects whether the Reporting Entity made a claim that the information it submitted in response to Field 113 (Within ODD?) constitutes CBI that is protected from disclosure. A “Y” in Field 114 indicates that the Reporting Entity claimed that the information it submitted in response to Field 113 (Within ODD?) constitutes CBI. A blank entry in Field 114 indicates that the Reporting Entity made no such claim.
32,Field #,Name | Description
32,115,"Narrative | The Reporting Entity’s written narrative of the pre-crash, crash, and post-crash details, and other information. If the entry states “[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION],” this indicates that the Reporting Entity has made and submitted a claim that some or all this information is CBI and is protected from public disclosure. If the Reporting Entity has made such a claim, only those portions of the narrative for which a claim has been made are redacted. Markings of “[XXX]” indicates some of the information reported by the Reporting Entity has been redacted by NHTSA because NHTSA has concluded that it may constitute (or lead to the disclosure of) PII that is protected from disclosure, pursuant to the Freedom of Information Act (FOIA), 5 U.S.C. 552(B)(6)."
32,116,Narrative - CBI? | The entry reflects whether the Reporting Entity made a claim that some or all the information it submitted in response to Field 115 (Narrative) constitutes CBI that is protected from disclosure. A “Y” in Field 116 indicates that the Reporting Entity claimed that some or all of the information it submitted in response to Field 115 (Narrative) constitutes CBI. A blank entry in Field 116 indicates that the Reporting Entity made no such claim.
