page,element,definition
4,8/15/25,"8/15/25 | Initial release of third amendment reports received from June 16th through July 15,"
9,24,Operating Entity – Unknown | The entry reflects whether the Reporting Entity reported that the information requested in Field 23 (Operating Entity) was unknown.
9,25 – 35,"Source | The entries for Fields 25 – 35 reflect the Reporting Entity’s report of the source from which it received “notice” of the incident. “Notice” is a defined term in the SGO. This field is a multi-select picklist to account for multiple notices from different entity sources. An entry of “Y” in response to any of Fields 25 – 35 indicates the source from which the Reporting Entity received notice, as reported by the Reporting Entity."
10,Field #,Name | Description
10,25,"Source – Complaint/Claim | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from a communication of any kind addressed to the Reporting Entity and made by a consumer or other individual or a written request or written demand for relief. A “Y” in Field 25 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 25 reflects the lack of any such report by the Reporting Entity."
10,26,"Source – Telematics | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from a communication in the form of electronic data transmitted from the subject vehicle to the Reporting Entity. A “Y” in Field 26 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 26 reflects the lack of any such report by the Reporting Entity."
10,27,"Source – Law Enforcement | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from a communication in writing, including communications in electronic form, from a law enforcement agency. A “Y” in Field 27 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 27 reflects the lack of any such report by the Reporting Entity."
10,28,"Source – Field Report | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from a communication in writing, including communications in electronic form, from an employee or representative of a Reporting Entity. A “Y” in Field 28 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 28 reflects the lack of any such report by the Reporting Entity."
10,29,"Source – Testing | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from a communication, including communications in electronic form, regarding a subject vehicle that is undergoing evaluation, development, or validation testing when the incident occurs. A “Y” in Field 29 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 29 reflects the lack of any such report by the Reporting Entity."
11,Field #,Name | Description
11,30,"Source – Media | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from a media organization, either through specific inquiries to the Reporting Entity or through a reported account of an incident. A “Y” in Field 30 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 30 reflects the lack of any such report by the Reporting Entity."
11,31,"Source Other – See Narrative | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from a source other than those identified in Fields 25 – 35. A “Y” in Field 31 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 31 reflects the lack of any such report by the Reporting Entity."
11,32,"Source – Internal Process Review | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from an internal entity process such as an engineering review or data quality review. A “Y” in Field 32 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 32 reflects the lack of any such report by the Reporting Entity."
11,33,"Source – NHTSA VOQ | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from a posted Vehicle Owner’s Questionnaire (VOQ). A “Y” in Field 33 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 33 reflects the lack of any such report by the Reporting Entity."
11,34,"Source – Other Entity | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from another entity (e.g., operators). A “Y” in Field 34 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 34 reflects the lack of any such report by the Reporting Entity."
12,Field #,Name | Description
12,35,"Source – State or Other Agency | The entry reflects whether the Reporting Entity reported that it received notice regarding the incident from a State or Other Federal Agency (e.g., a local jurisdiction). A “Y” in Field 35 reflects the Reporting Entity’s report that this was the source of its notice of the incident, and a blank entry in Field 35 reflects the lack of any such report by the Reporting Entity."
12,36,Incident Date | The Reporting Entity’s report of the month and year the incident occurred [MMM-YY format].
12,37,"Incident Date – Unknown | The entry reflects whether the Reporting Entity reported that the information requested in Field 36 (Incident Date) was unknown. A “Y” in Field 37 reflects the Reporting Entity’s report that this information was unknown, and a blank entry in Field 37 reflects the lack of any such report by the Reporting Entity."
12,38,Incident Time (24:00) | The Reporting Entity’s report of the local time at which the incident occurred [24-hour format].
12,39,"Incident Time – Unknown | The entry reflects whether the Reporting Entity reported that the information requested in Field 38 (Incident Time) was unknown. A “Y” in Field 39 reflects the Reporting Entity’s report that this information was unknown, and a blank entry in Field 39 reflects the lack of any such report by the Reporting Entity."
12,40,"Same Incident ID | A unique identifier, generated by NHTSA based on information in the report, for the incident that is the subject of the report. This unique identifier permits data users to determine whether other reports regarding the same incident were filed by another Reporting Entity."
12,41,"Latitude | The Reporting Entity’s report of the latitude of the incident location in decimal degrees. If the entry states “[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],” the information reported by the Reporting Entity has been redacted by NHTSA because NHTSA has concluded that it may constitute (or lead to the disclosure of) PII that is protected from disclosure. If Field 41 has unknown latitude or “0,” a location address/description box and zip code box will appear for the Reporting Entity to describe crash location (e.g. nearest intersection)."
13,Field #,Name | Description
13,42,"Latitude – Unknown | The entry reflects whether the Reporting Entity reported that the information requested in Field 41 (Latitude) was unknown. A “Y” in Field 42 reflects the Reporting Entity’s report that this information was unknown, and a blank entry in Field 42 reflects the lack of any such report by the Reporting Entity."
13,43,"Longitude | The Reporting Entity’s report of the longitude of the incident location in decimal degrees. If the entry states “[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],” the information reported by the Reporting Entity has been redacted by NHTSA because NHTSA has concluded that it may constitute (or lead to the disclosure of) PII that is protected from disclosure. If Field 43 has unknown Longitude or “0,” a location address/ description box and zip code box will appear for Reporting Entity to describe crash location (e.g. nearest intersection)."
13,44,"Longitude – Unknown | The entry reflects whether the Reporting Entity reported that the information requested in Field 43 (Longitude) was unknown. A “Y” in Field 44 reflects the Reporting Entity’s report that this information was unknown, and a blank entry in Field 44 reflects the lack of any such report by the Reporting Entity."
13,45,"Address | The street address or the roadway location where the incident occurred, as reported by the Reporting Entity. If the entry states “[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],” the information reported by the Reporting Entity has been redacted by NHTSA because NHTSA has concluded that it may constitute (or lead to the disclosure of) PII that is protected from disclosure."
13,46,"Address – Unknown | The entry reflects whether the Reporting Entity reported that the information requested in Field 45 (Address) was unknown. A “Y” in Field 46 reflects the Reporting Entity’s report that this information was unknown, and a blank entry in Field 46 reflects the lack of any such report by the Reporting Entity."
13,47,"City | The city where the incident occurred, as reported by the Reporting Entity."
14,Field #,Name | Description
14,48,"City – Unknown | The entry reflects whether the Reporting Entity reported that the information requested in Field 47 (City) was unknown. A “Y” in Field 48 reflects the Reporting Entity’s report that this information was unknown, and a blank entry in Field 48 reflects the lack of any such report by the Reporting Entity."
14,49,"State | The state or territory where the incident occurred, as reported by the Reporting Entity."
14,50,"Zip Code | The 5-digit ZIP code where the incident occurred, as reported by the Reporting Entity. If the entry states “[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],” the information reported by the Reporting Entity has been redacted by NHTSA because NHTSA has concluded that it may constitute (or lead to the disclosure of) PII that is protected from disclosure."
14,51,"Zip Code – Unknown | The entry reflects whether the Reporting Entity reported that the information requested in Field 50 (Zip Code) was unknown. A “Y” in Field 51 reflects the Reporting Entity’s report that this information was unknown, and a blank entry in Field 51 reflects the lack of any such report by the Reporting Entity."
15,Field #,Name | Description
15,52,"Roadway Type | The type of road on which the subject vehicle was operating at the time of the incident, as reported by the Reporting Entity. Drop-down values: • Highway / Freeway: A divided arterial highway with full control of access. • Street: Local city or residential road not at an intersection; does not include unpaved or rural roads. • Intersection: An area where two or more roadways join or cross. • Parking Lot: Dedicated area intended for parking vehicles, including a publicly accessible road within a dedicated parking area and on-street parking. • Traffic Circle: A circular intersection, rotary, roundabout, or similar junction in which road traffic is permitted to flow in one direction. • Rural Road: Local road outside densely populated areas; does not include unpaved roads or a highway/freeway. • Parking Garage: A building, often of several stories, that provides parking space. • Unpaved Road: A roadway where the surface is not concrete or asphalt. • Unknown"
15,53 - 60,"Roadway Description | The entries for Fields 53 – 60 reflect the Reporting Entity’s report of the roadway description. This field is a multi-select picklist to account for multiple roadway descriptions. An entry of “Y” in response to any of Fields 53 – 60 indicates the roadway description was applicable at the time of the incident, as reported by the Reporting Entity."
15,53,"Roadway – Degraded Surface | The entry reflects whether the Reporting Entity reported that the roadway had visible signs of damage and deterioration at the time of the incident. Examples include, but are not limited to, potholes, cracks, and unevenness. A “Y” in Field 53 reflects the Reporting Entity’s report that this information was recorded, and a blank entry in Field 53 reflects the lack of any such report by the Reporting Entity."
16,Field #,Name | Description
16,54,"Roadway – Missing/Degraded Markings | The entry reflects whether the Reporting Entity reported that the roadway had missing, degraded, or otherwise altered lane markings that were not in conjunction with a work zone at the time of the incident. A “Y” in Field 54 reflects the Reporting Entity’s report that this information was recorded, and a blank entry in Field 54 reflects the lack of any such report by the Reporting Entity."
16,55,"Roadway – No Unusual Conditions | The entry reflects whether the Reporting Entity reported that the roadway did not contain any unusual anomalies or imperfections at the time of the incident. A “Y” in Field 55 reflects the Reporting Entity’s report that this information was recorded, and a blank entry in Field 55 reflects the lack of any such report by the Reporting Entity."
16,56,"Roadway – Other- See Narrative | The entry reflects whether the Reporting Entity reported other conditions in the roadway at the time of the incident. A “Y” in Field 56 reflects the Reporting Entity’s report that this information was recorded, and a blank entry in Field 56 reflects the lack of any such report by the Reporting Entity."
16,57,"Roadway – Traffic Incident | The entry reflects whether the Reporting Entity reported that the roadway had a prior traffic event that adversely affected normal traffic operations separate from the reported incident at the time of the incident. Examples include, but are not limited to, first responder activity, traffic crashes, disabled vehicles, and spilled cargo. A “Y” in Field 57 reflects the Reporting Entity’s report that this information was recorded, and a blank entry in Field 57 reflects the lack of any such report by the Reporting Entity."
16,58,"Roadway – Unknown | The entry reflects whether the Reporting Entity reported that the roadway conditions were unknown at the time of the incident. A “Y” in Field 58 reflects the Reporting Entity’s report that this information was recorded, and a blank entry in Field 58 reflects the lack of any such report by the Reporting Entity."
16,59,"Roadway – Wet Surface Condition | The entry reflects whether the Reporting Entity reported that the roadway had a wet surface that reduced traction, increased stopping distances, or could lead to hydroplaning at the time of the incident. A “Y” in Field 59 reflects the Reporting Entity’s report that this information was recorded, and a blank entry in Field 59 reflects the lack of any such report by the Reporting Entity."
17,Field #,Name | Description
17,60,"Roadway – Work Zone | The entry reflects whether the Reporting Entity reported that the roadway was an area where construction, maintenance, or utility work activities were identified by warning signs, signals, or other indicators at the time of the incident. A “Y” in Field 60 reflects the Reporting Entity’s report that this information was recorded, and a blank entry in Field 60 reflects the lack of any such report by the Reporting Entity."
17,61 - 71,"Weather | The entries for Fields 61 – 71 reflect the Reporting Entity’s report of the weather or environmental conditions at the time and location of the incident. This field is a multi-select picklist to account for multiple weather conditions were reported for a single incident. An entry of “Y” in response to any of Fields 61 – 71 indicates the weather was present at the time of the incident, as reported by the Reporting Entity."
17,61,"Weather – Clear | The entry reflects whether the Reporting Entity reported that there were no adverse weather conditions at the time and place of the incident. A “Y” in Field 61 reflects the Reporting Entity’s report that these conditions were present, and a blank entry in Field 61 reflects the lack of any such report."
17,62,"Weather – Snow | The entry for reflects whether the Reporting Entity reported that it was snowing at the time and place of the incident. A “Y” in Field 62 reflects the Reporting Entity’s report that these conditions were present, and a blank entry in Field 62 reflects the lack of any such report."
17,63,"Weather – Cloudy | The entry reflects whether the Reporting Entity reported cloudy conditions at the time and place of the incident. A “Y” in Field 63 reflects the Reporting Entity’s report that these conditions were present, and a blank entry in Field 63 reflects the lack of any such report."
17,64,"Weather – Fog/Smoke/ Haze | The entry reflects whether the Reporting Entity reported that there were low visibility conditions, including fog, smoke, or haze at the time and place of the incident. A “Y” in Field 64 reflects the Reporting Entity’s report that these conditions were present, and a blank entry in Field 64 reflects the lack of any such report."
18,Field #,Name | Description
18,65,"Weather – Rain | The entry reflects whether the Reporting Entity reported that it was raining at the time and place of the incident. A “Y” in Field 65 reflects the Reporting Entity’s report that these conditions were present, and a blank entry in Field 65 reflects the lack of any such report."
